trip_id,driver_id,rider_id,pickup_zone_id,request_timestamp,dropoff_timestamp,trip_status,trip_distance_km,base_fare,surge_multiplier,total_fare,driver_payout
TRIP-000030,124,8885,2,01-07-2026 08:17,01-07-2026 08:27,Completed,4.48,104.96,2,209.92,166.72
TRIP-000031,137,9601,1,11-08-2026 17:31,,Driver Cancelled,12.22,217.19,1.36,0,0
TRIP-000032,327,8464,2,10-07-2026 21:15,10-07-2026 22:16,Completed,28.11,447.59,1,447.59,350.35
TRIP-000033,211,6837,2,01-07-2026 08:03,01-07-2026 09:40,Completed,27.49,438.6,1.89,828.95,644.88
TRIP-000034,344,8515,2,14-08-2026 00:59,14-08-2026 02:34,Completed,27.43,437.74,1,437.74,334.08
TRIP-000035,319,5237,4,02-08-2026 09:35,02-08-2026 10:01,Completed,7.82,153.39,1.93,296.04,220.46
TRIP-000036,120,9639,1,05-07-2026 01:56,,Rider Cancelled,21.89,357.41,1,50,35
TRIP-000037,232,9345,8,01-08-2026 11:23,01-08-2026 11:48,Completed,8.85,168.32,1,168.32,133.07
TRIP-000038,116,9649,4,01-07-2026 06:10,,Rider Cancelled,20.09,331.31,1,50,35
TRIP-000039,233,7229,4,13-08-2026 05:57,13-08-2026 06:42,Completed,15.57,265.76,1,265.76,205.56
TRIP-000040,191,7827,2,27-06-2026 12:31,27-06-2026 13:20,Completed,15.18,260.11,1,260.11,198.83
TRIP-000041,117,8237,4,22-07-2026 03:50,22-07-2026 04:56,Completed,31.54,497.33,1,497.33,388.87
TRIP-000042,103,7371,5,21-06-2026 12:12,,Rider Cancelled,12.18,216.61,1,0,0
TRIP-000043,334,7901,4,12-07-2026 19:29,12-07-2026 19:39,Completed,4.63,107.14,1.66,177.85,142.08
TRIP-000044,227,8421,3,29-08-2026 10:27,29-08-2026 10:50,Completed,11.04,200.08,1.58,316.13,246.74
TRIP-000045,131,7964,3,17-08-2026 19:12,17-08-2026 19:24,Completed,5.1,113.95,1,113.95,87.13
TRIP-000046,299,6377,5,21-07-2026 20:55,21-07-2026 21:05,Completed,4.75,108.88,2.24,243.89,187.65
TRIP-000047,145,6209,5,27-08-2026 22:57,27-08-2026 23:21,Completed,9.47,177.31,1,177.31,140
TRIP-000048,276,9047,4,15-06-2026 20:12,15-06-2026 21:06,Completed,16.19,274.75,1,274.75,212.4
TRIP-000049,,7647,4,29-08-2026 17:26,,Unfulfilled,28,446,1,0,0
TRIP-000050,197,8841,2,31-07-2026 21:31,31-07-2026 22:24,Completed,15.55,265.48,1,265.48,202.96
TRIP-000051,217,8702,3,05-07-2026 04:05,05-07-2026 04:17,Completed,3.61,92.34,1,92.34,73.45
TRIP-000052,245,9866,8,23-08-2026 21:50,23-08-2026 22:43,Completed,17.46,293.17,1,293.17,217.75
TRIP-000053,250,6542,3,11-08-2026 17:48,,Rider Cancelled,11.99,213.85,1,0,0
TRIP-000054,124,7813,3,07-06-2026 00:10,,Rider Cancelled,31.48,496.46,1,0,0
TRIP-000055,218,9995,8,17-06-2026 18:05,17-06-2026 18:31,Completed,7.18,144.11,2.05,295.43,229.48
TRIP-000056,127,7741,2,15-08-2026 04:38,15-08-2026 04:51,Completed,4.44,104.38,1,104.38,81.08
TRIP-000057,207,9937,4,25-06-2026 11:11,25-06-2026 12:14,Completed,28.26,449.77,1,449.77,341.91
TRIP-000058,,8210,2,29-08-2026 00:10,,Unfulfilled,6.3,131.35,1,0,0
TRIP-000059,311,7690,2,08-08-2026 19:42,08-08-2026 21:09,Completed,26.49,424.1,1,424.1,315.18
TRIP-000060,106,8468,7,06-08-2026 13:07,06-08-2026 13:54,Completed,17.5,293.75,1,293.75,231.82
TRIP-000061,,6269,2,21-06-2026 19:06,,Unfulfilled,4.78,109.31,2.12,0,0
TRIP-000062,266,9421,5,21-08-2026 23:39,22-08-2026 00:37,Completed,27.14,433.53,1,433.53,338.06
TRIP-000063,114,6356,1,14-08-2026 09:37,14-08-2026 10:43,Completed,23.77,384.67,1.92,738.57,560.88
TRIP-000064,178,8677,8,24-06-2026 01:29,24-06-2026 01:53,Completed,9.4,176.3,1,176.3,132.49
TRIP-000065,245,9672,7,16-07-2026 12:53,16-07-2026 14:40,Completed,31.54,497.33,1,497.33,374.64
TRIP-000066,116,6133,5,19-07-2026 19:51,,Rider Cancelled,28.25,449.62,2.36,0,0
TRIP-000067,342,6021,4,24-08-2026 20:50,24-08-2026 21:15,Completed,10.91,198.19,2.32,459.8,355.44
TRIP-000068,108,8695,7,20-07-2026 20:11,20-07-2026 21:31,Completed,28.6,454.7,1.72,782.08,607.06
TRIP-000069,,8071,2,07-07-2026 07:23,,Unfulfilled,9.12,172.24,1,0,0
TRIP-000070,142,7746,7,01-07-2026 22:35,,Rider Cancelled,25.85,414.83,1,50,35
TRIP-000071,249,6136,6,29-08-2026 01:41,29-08-2026 02:52,Completed,24.89,400.91,1,400.91,320.6
TRIP-000072,329,6224,1,08-06-2026 16:36,08-06-2026 17:34,Completed,18.69,311,1,311,240.9
TRIP-000073,258,8744,1,15-08-2026 08:36,15-08-2026 08:49,Completed,4.35,103.07,1.56,160.79,128.47
TRIP-000074,293,7386,3,21-07-2026 00:54,21-07-2026 01:34,Completed,15.16,259.82,1,259.82,198.96
TRIP-000075,266,7954,4,19-06-2026 04:28,19-06-2026 04:41,Completed,4.5,105.25,1,105.25,79.23
TRIP-000076,223,8851,3,20-07-2026 06:50,20-07-2026 07:04,Completed,3.78,94.81,1,94.81,74.41
TRIP-000077,297,6975,2,02-06-2026 13:50,02-06-2026 14:44,Completed,24.12,389.74,1,389.74,298.18
TRIP-000078,301,9472,2,13-08-2026 11:11,13-08-2026 11:40,Completed,12.49,221.1,1,221.1,166.54
TRIP-000079,119,6493,8,16-07-2026 02:38,16-07-2026 04:05,Completed,26.44,423.38,1,423.38,314.73
TRIP-000080,200,6634,2,04-06-2026 14:10,04-06-2026 15:55,Completed,28.63,455.13,1,455.13,350.03
TRIP-000081,348,6565,3,19-08-2026 04:02,19-08-2026 04:25,Completed,10.94,198.63,1,198.63,151.09
TRIP-000082,222,8276,1,27-06-2026 12:38,27-06-2026 13:43,Completed,24.43,394.24,1,394.24,310.97
TRIP-000083,124,9253,3,07-08-2026 04:38,,Driver Cancelled,10.37,190.36,1,0,0
TRIP-000084,203,6478,3,10-08-2026 14:13,10-08-2026 14:55,Completed,18.59,309.56,1,309.56,241.56
TRIP-000085,239,8490,2,29-06-2026 16:53,29-06-2026 17:13,Completed,7.42,147.59,1,147.59,117.7
TRIP-000086,117,8563,7,24-08-2026 11:20,24-08-2026 11:43,Completed,10.6,193.7,1,193.7,147.55
TRIP-000087,144,6310,3,06-07-2026 06:34,06-07-2026 08:22,Completed,30.61,483.84,1,483.84,367.39
TRIP-000088,277,8000,1,13-07-2026 13:01,13-07-2026 13:29,Completed,13.18,231.11,1,231.11,182.76
TRIP-000089,267,5629,7,14-07-2026 16:23,14-07-2026 17:15,Completed,19.43,321.74,1,321.74,251.32
TRIP-000090,223,6524,2,28-06-2026 01:23,28-06-2026 02:25,Completed,17.22,289.69,1,289.69,229.71
TRIP-000091,256,7339,2,15-08-2026 05:47,15-08-2026 06:43,Completed,22.97,373.06,1,373.06,295.41
TRIP-000092,314,8646,3,08-06-2026 04:33,,Driver Cancelled,31.92,502.84,1,0,0
TRIP-000093,193,5531,8,22-08-2026 02:12,22-08-2026 03:19,Completed,18.72,311.44,1,311.44,233.24
TRIP-000094,262,6426,4,09-08-2026 02:38,09-08-2026 03:42,Completed,25.91,415.69,1,415.69,307.98
TRIP-000095,279,5215,1,16-08-2026 21:38,,Rider Cancelled,13.15,230.68,1,50,35
TRIP-000096,225,5706,8,18-08-2026 00:40,18-08-2026 00:56,Completed,4.44,104.38,1,104.38,79
TRIP-000097,201,9709,3,22-07-2026 00:57,22-07-2026 01:11,Completed,4.68,107.86,1,107.86,83.38
TRIP-000098,157,9516,3,06-08-2026 00:46,06-08-2026 01:58,Completed,21.37,349.87,1,349.87,277.19
TRIP-000099,151,6253,1,19-07-2026 19:45,19-07-2026 20:15,Completed,11.47,206.31,1,206.31,156.27
TRIP-000100,181,7326,7,04-07-2026 14:17,04-07-2026 15:23,Completed,27.46,438.17,1,438.17,325.39
TRIP-000101,301,9370,1,27-06-2026 15:31,27-06-2026 15:43,Completed,5.26,116.27,1,116.27,86.45
TRIP-000102,276,9957,1,15-06-2026 23:17,15-06-2026 23:44,Completed,12.46,220.67,1,220.67,165.1
TRIP-000103,168,9724,1,08-06-2026 21:15,08-06-2026 21:50,Completed,10.31,189.5,1,189.5,146.86
TRIP-000104,197,9469,1,02-08-2026 00:57,,Driver Cancelled,11.05,200.23,1,0,0
TRIP-000105,121,8326,2,17-07-2026 21:20,,Rider Cancelled,11.27,203.41,1,0,0
TRIP-000106,201,7560,2,16-06-2026 08:21,16-06-2026 09:54,Completed,27.91,444.69,1.78,791.55,592.36
TRIP-000107,242,8821,3,09-07-2026 17:04,09-07-2026 17:19,Completed,6.11,128.59,1.64,210.89,167.49
TRIP-000108,150,8425,7,29-06-2026 04:14,,Rider Cancelled,9.82,182.39,1,0,0
TRIP-000109,263,6305,3,30-08-2026 15:47,30-08-2026 16:36,Completed,17.2,289.4,1,289.4,216.26
TRIP-000110,178,9140,1,19-07-2026 06:57,,Driver Cancelled,15.99,271.86,1,0,0
TRIP-000111,307,7304,3,21-06-2026 21:19,21-06-2026 22:14,Completed,17.1,287.95,1,287.95,225.42
TRIP-000112,216,7996,3,01-06-2026 19:03,,Driver Cancelled,25.03,402.94,1,0,0
TRIP-000113,242,5602,2,05-06-2026 09:25,05-06-2026 10:12,Completed,13.9,241.55,1.88,454.11,355.67
TRIP-000114,208,5792,4,31-07-2026 12:15,31-07-2026 12:58,Completed,14.12,244.74,1,244.74,190.42
TRIP-000115,111,9096,2,15-06-2026 00:10,15-06-2026 00:18,Completed,3.69,93.5,1,93.5,72.93
TRIP-000116,292,9223,3,16-07-2026 23:54,17-07-2026 00:11,Completed,6.62,135.99,1,135.99,105.59
TRIP-000117,322,9175,2,30-07-2026 20:33,30-07-2026 21:28,Completed,18.2,303.9,1,303.9,234.46
TRIP-000118,328,8412,2,02-06-2026 14:46,02-06-2026 15:56,Completed,19.72,325.94,1,325.94,248.45
TRIP-000119,,9738,3,28-07-2026 22:54,,Unfulfilled,19.54,323.33,1,0,0
TRIP-000120,294,9294,1,10-08-2026 00:59,10-08-2026 02:10,Completed,21.06,345.37,1,345.37,268.42
TRIP-000121,238,5900,1,19-08-2026 18:36,,Driver Cancelled,8.13,157.88,1,0,0
TRIP-000122,331,8863,2,01-07-2026 10:57,01-07-2026 12:31,Completed,28.25,449.62,1.7,764.35,579.11
TRIP-000123,244,7570,4,21-07-2026 08:37,21-07-2026 10:29,Completed,30.72,485.44,1.59,771.85,601.63
TRIP-000124,162,7165,6,05-07-2026 09:32,05-07-2026 10:48,Completed,20.5,337.25,1,337.25,264.15
TRIP-000125,,7438,2,29-06-2026 23:33,,Unfulfilled,25.25,406.12,1,0,0
TRIP-000126,279,7240,2,08-08-2026 10:32,08-08-2026 11:07,Completed,10.99,199.35,2.05,408.67,317.63
TRIP-000127,192,6199,5,09-07-2026 07:19,,Driver Cancelled,11.07,200.52,1,0,0
TRIP-000128,269,6752,4,09-08-2026 08:04,09-08-2026 08:25,Completed,8.46,162.67,2.31,375.77,287.94
TRIP-000129,176,9350,3,27-06-2026 08:55,27-06-2026 09:15,Completed,9.16,172.82,1.94,335.27,259.9
TRIP-000130,272,6126,3,09-08-2026 15:33,09-08-2026 15:42,Completed,2.65,78.42,1,78.42,61.99
TRIP-000131,192,6633,6,03-08-2026 09:21,03-08-2026 10:26,Completed,24.8,399.6,1,399.6,304.19
TRIP-000132,328,6902,5,28-08-2026 03:38,28-08-2026 04:42,Completed,18.29,305.2,1,305.2,243.48
TRIP-000133,111,6440,1,29-08-2026 11:10,,Driver Cancelled,30.05,475.73,1,0,0
TRIP-000134,104,7371,2,21-08-2026 04:29,21-08-2026 05:42,Completed,28.36,451.22,1,451.22,344.66
TRIP-000135,140,9450,8,30-08-2026 03:27,30-08-2026 04:30,Completed,17.97,300.56,1,300.56,232.01
TRIP-000136,105,7107,2,19-06-2026 17:16,19-06-2026 18:35,Completed,23.7,383.65,1,383.65,288.72
TRIP-000137,263,8321,4,26-07-2026 03:01,26-07-2026 04:12,Completed,26.9,430.05,1,430.05,333.7
TRIP-000138,103,7650,2,10-06-2026 06:15,10-06-2026 07:31,Completed,30.11,476.59,1,476.59,374.54
TRIP-000139,104,9771,2,13-08-2026 04:22,13-08-2026 05:22,Completed,23.83,385.53,1,385.53,300.11
TRIP-000140,315,7513,1,23-06-2026 22:37,23-06-2026 22:58,Completed,7.21,144.55,1,144.55,107.88
TRIP-000141,173,7416,5,08-08-2026 07:24,08-08-2026 07:56,Completed,13.34,233.43,1,233.43,184.87
TRIP-000142,310,8857,2,15-06-2026 20:56,15-06-2026 22:23,Completed,24.84,400.18,2.39,956.43,721.42
TRIP-000143,267,5670,5,06-08-2026 01:18,,Rider Cancelled,18,301,1,0,0
TRIP-000144,165,9486,7,08-06-2026 13:59,08-06-2026 15:28,Completed,29.14,462.53,1,462.53,365.87
TRIP-000145,262,9777,3,02-07-2026 20:34,02-07-2026 21:22,Completed,16.92,285.34,1,285.34,227.32
TRIP-000146,225,7524,1,13-06-2026 19:27,13-06-2026 20:27,Completed,23.84,385.68,1.75,674.94,539.83
TRIP-000147,270,7822,3,22-06-2026 03:44,22-06-2026 05:11,Completed,23.16,375.82,1,375.82,279.58
TRIP-000148,344,7351,8,07-06-2026 16:49,07-06-2026 17:22,Completed,14.56,251.12,1,251.12,191.23
TRIP-000149,314,8092,8,10-08-2026 19:22,10-08-2026 20:12,Completed,13.58,236.91,1.7,402.75,301.07
TRIP-000150,224,6462,4,13-06-2026 21:53,13-06-2026 23:28,Completed,31.79,500.95,1,500.95,378.88
TRIP-000151,327,7444,6,22-06-2026 14:54,22-06-2026 15:42,Completed,16.16,274.32,1,274.32,210.7
TRIP-000152,328,6270,2,19-08-2026 22:34,19-08-2026 23:10,Completed,10.63,194.14,1,194.14,154.94
TRIP-000153,120,5128,3,04-08-2026 02:22,,Rider Cancelled,9.6,179.2,1,50,35
TRIP-000154,114,5398,3,04-06-2026 06:14,04-06-2026 06:41,Completed,9.72,180.94,1,180.94,142.21
TRIP-000155,193,6147,5,22-06-2026 02:16,,Rider Cancelled,17.36,291.72,1,50,35
TRIP-000156,203,9898,4,28-08-2026 23:21,29-08-2026 00:24,Completed,25.29,406.7,1,406.7,303.98
TRIP-000157,285,7254,3,04-08-2026 02:24,04-08-2026 02:39,Completed,4.3,102.35,1,102.35,76.28
TRIP-000158,311,7821,3,31-07-2026 18:40,31-07-2026 20:03,Completed,30.28,479.06,1,479.06,368.17
TRIP-000159,269,8083,3,07-08-2026 14:30,07-08-2026 14:53,Completed,7.92,154.84,1,154.84,115.98
TRIP-000160,275,8793,6,30-06-2026 04:45,30-06-2026 06:07,Completed,29.48,467.46,1,467.46,362.29
TRIP-000161,126,8684,2,22-07-2026 10:58,22-07-2026 12:20,Completed,27.49,438.6,1.49,653.51,490.29
TRIP-000162,121,9939,2,06-06-2026 00:05,06-06-2026 00:13,Completed,3.67,93.22,1,93.22,70.32
TRIP-000163,207,6711,4,10-08-2026 07:45,10-08-2026 08:58,Completed,28.15,448.17,1,448.17,334.09
TRIP-000164,,5961,7,21-06-2026 13:32,,Unfulfilled,24.53,395.69,1,0,0
TRIP-000165,225,9951,3,13-08-2026 05:43,13-08-2026 07:08,Completed,23.26,377.27,1,377.27,289.32
TRIP-000166,215,7943,2,15-08-2026 07:04,15-08-2026 07:38,Completed,11.6,208.2,1,208.2,160.35
TRIP-000167,217,7623,5,10-06-2026 13:46,10-06-2026 15:03,Completed,29.47,467.31,1,467.31,372.57
TRIP-000168,282,7136,2,23-08-2026 21:27,23-08-2026 22:25,Completed,18.82,312.89,1,312.89,242.47
TRIP-000169,315,9510,3,15-06-2026 19:08,15-06-2026 20:06,Completed,21.81,356.25,1.48,527.25,397.65
TRIP-000170,212,6378,4,18-07-2026 10:34,18-07-2026 11:31,Completed,24.12,389.74,1,389.74,294.95
TRIP-000171,122,9292,8,18-07-2026 09:51,,Driver Cancelled,3.5,90.75,2.27,0,0
TRIP-000172,176,6126,1,31-08-2026 18:26,31-08-2026 19:26,Completed,27.36,436.72,1,436.72,345.42
TRIP-000173,106,8958,3,22-06-2026 05:39,22-06-2026 06:25,Completed,21.95,358.27,1,358.27,274.76
TRIP-000174,106,9388,1,02-06-2026 03:36,02-06-2026 05:08,Completed,31.34,494.43,1,494.43,374.84
TRIP-000175,178,5789,7,12-07-2026 19:18,12-07-2026 20:01,Completed,17.97,300.56,1,300.56,230.95
TRIP-000176,227,5647,2,19-08-2026 03:35,,Rider Cancelled,13.51,235.9,1,0,0
TRIP-000177,305,5660,8,24-06-2026 14:42,24-06-2026 15:55,Completed,21.79,355.95,1,355.95,282.76
TRIP-000178,237,5677,4,07-07-2026 19:44,07-07-2026 20:39,Completed,17.25,290.12,1.77,513.51,400.6
TRIP-000179,317,5348,8,23-08-2026 07:11,,Driver Cancelled,9.28,174.56,1,0,0
TRIP-000180,189,5609,3,26-08-2026 04:09,26-08-2026 05:31,Completed,22.69,369,1,369,282.72
TRIP-000181,284,5128,1,04-06-2026 04:40,,Rider Cancelled,30.86,487.47,1,50,35
TRIP-000182,276,5630,4,19-08-2026 16:20,19-08-2026 16:48,Completed,11.33,204.28,1,204.28,153.19
TRIP-000183,316,6146,3,08-07-2026 18:48,08-07-2026 20:14,Completed,25.82,414.39,1,414.39,319.06
TRIP-000184,344,5622,1,04-07-2026 13:54,04-07-2026 14:33,Completed,12.55,221.98,1,221.98,169.65
TRIP-000185,214,8690,2,15-08-2026 02:30,15-08-2026 03:21,Completed,16.97,286.06,1,286.06,222.4
TRIP-000186,195,5702,4,19-06-2026 00:48,19-06-2026 02:15,Completed,25.28,406.56,1,406.56,307.85
TRIP-000187,201,6263,2,08-06-2026 23:09,09-06-2026 00:14,Completed,24.32,392.64,1,392.64,311.96
TRIP-000188,125,7209,2,31-08-2026 13:15,31-08-2026 13:28,Completed,5.52,120.04,1,120.04,92.8
TRIP-000189,205,9890,1,24-07-2026 20:38,24-07-2026 21:49,Completed,20.14,332.03,1.32,438.28,350.3
TRIP-000190,179,9583,2,11-07-2026 04:14,11-07-2026 05:43,Completed,29.2,463.4,1,463.4,366
TRIP-000191,119,7198,1,07-07-2026 23:10,07-07-2026 23:50,Completed,17.05,287.23,1,287.23,225.03
TRIP-000192,327,7061,3,30-06-2026 02:28,30-06-2026 04:03,Completed,30.35,480.08,1,480.08,366.96
TRIP-000193,207,5055,3,19-06-2026 23:39,20-06-2026 01:26,Completed,30.49,482.1,1,482.1,374.69
TRIP-000194,203,9869,5,23-08-2026 17:04,,Rider Cancelled,6.52,134.54,1.6,0,0
TRIP-000195,193,8262,2,07-08-2026 12:08,07-08-2026 13:52,Completed,31.08,490.66,1,490.66,373.9
TRIP-000196,224,7296,5,26-07-2026 21:53,26-07-2026 23:05,Completed,26.59,425.56,1,425.56,316.65
TRIP-000197,168,8781,4,20-06-2026 09:34,20-06-2026 11:00,Completed,30.32,479.64,1.85,887.33,694.35
TRIP-000198,142,8351,1,07-08-2026 06:25,,Rider Cancelled,22.35,364.08,1,0,0
TRIP-000199,121,8466,2,24-06-2026 11:57,24-06-2026 13:10,Completed,25.78,413.81,1,413.81,316.2
TRIP-000200,215,8426,3,27-07-2026 12:43,27-07-2026 13:44,Completed,18.54,308.83,1,308.83,232.01
TRIP-000201,212,7033,4,28-07-2026 15:42,28-07-2026 16:34,Completed,21.9,357.55,1,357.55,272.9
TRIP-000202,206,8273,8,25-07-2026 16:23,25-07-2026 18:19,Completed,31.02,489.79,1,489.79,379.18
TRIP-000203,316,9249,1,02-06-2026 00:34,02-06-2026 01:32,Completed,18.96,314.92,1,314.92,243.51
TRIP-000204,108,9099,3,08-07-2026 23:24,08-07-2026 23:44,Completed,6.95,140.78,1,140.78,110.13
TRIP-000205,209,6160,1,29-08-2026 09:01,,Driver Cancelled,12.78,225.31,1,0,0
TRIP-000206,238,7853,5,15-07-2026 05:00,15-07-2026 05:55,Completed,16.55,279.98,1,279.98,216.38
TRIP-000207,209,5942,2,07-06-2026 12:31,,Rider Cancelled,3.17,85.97,1,0,0
TRIP-000208,150,9227,7,05-08-2026 17:50,05-08-2026 18:10,Completed,7.65,150.93,1,150.93,116.88
TRIP-000209,331,8540,2,15-07-2026 20:39,15-07-2026 21:23,Completed,14.17,245.47,1.69,414.84,326.96
TRIP-000210,337,6759,3,28-07-2026 11:56,28-07-2026 12:24,Completed,8.57,164.26,1,164.26,123.56
TRIP-000211,163,6531,1,27-07-2026 01:19,,Rider Cancelled,13.29,232.7,1,0,0
TRIP-000212,292,7567,4,26-06-2026 11:19,26-06-2026 12:14,Completed,20.11,331.59,1,331.59,263
TRIP-000213,285,7436,6,05-07-2026 04:11,05-07-2026 05:17,Completed,29.6,469.2,1,469.2,371.59
TRIP-000214,142,8182,2,12-06-2026 10:38,12-06-2026 11:23,Completed,14.84,255.18,1.34,341.94,264.87
TRIP-000215,256,6419,4,18-07-2026 06:01,18-07-2026 06:49,Completed,18.87,313.62,1,313.62,247.38
TRIP-000216,222,6118,2,21-08-2026 17:58,21-08-2026 18:28,Completed,8.26,159.77,1.26,201.31,154.94
TRIP-000217,124,8636,3,19-07-2026 01:21,19-07-2026 02:12,Completed,16.92,285.34,1,285.34,214.65
TRIP-000218,345,8746,3,22-06-2026 09:52,22-06-2026 10:57,Completed,19.19,318.25,1.53,486.92,373.48
TRIP-000219,216,9449,3,11-06-2026 23:48,12-06-2026 01:08,Completed,26.79,428.45,1,428.45,323.31
TRIP-000220,,5838,3,13-08-2026 18:56,,Unfulfilled,24.21,391.05,1,0,0
TRIP-000221,211,5264,5,03-08-2026 11:09,03-08-2026 12:05,Completed,15.77,268.66,1,268.66,213.53
TRIP-000222,331,6941,8,24-08-2026 00:16,,Rider Cancelled,8.69,166,1,0,0
TRIP-000223,142,8507,6,05-07-2026 01:01,05-07-2026 01:26,Completed,7.4,147.3,1,147.3,110.65
TRIP-000224,153,7302,1,18-08-2026 04:48,18-08-2026 05:41,Completed,20.11,331.59,1,331.59,251.26
TRIP-000225,313,9214,3,29-06-2026 02:11,,Driver Cancelled,31.57,497.76,1,0,0
TRIP-000226,,8371,1,19-08-2026 03:30,,Unfulfilled,29.6,469.2,1,0,0
TRIP-000227,325,6087,6,27-06-2026 22:12,27-06-2026 22:38,Completed,9.87,183.11,1,183.11,143.77
TRIP-000228,297,9730,4,21-08-2026 21:37,21-08-2026 22:36,Completed,21.16,346.82,1,346.82,268.05
TRIP-000229,189,8300,5,01-08-2026 12:27,,Rider Cancelled,17.71,296.8,1,0,0
TRIP-000230,346,7681,2,25-08-2026 04:17,,Driver Cancelled,19.67,325.22,1,0,0
TRIP-000231,318,8755,4,22-08-2026 06:02,22-08-2026 06:59,Completed,21.23,347.83,1,347.83,276.94
TRIP-000232,,6735,2,22-07-2026 21:17,,Unfulfilled,17.09,287.81,1,0,0
TRIP-000233,209,9637,2,02-07-2026 08:19,02-07-2026 09:59,Completed,27.65,440.92,1,440.92,332.57
TRIP-000234,150,8764,1,05-06-2026 11:03,,Rider Cancelled,2.98,83.21,1,0,0
TRIP-000235,197,6080,8,01-06-2026 01:34,01-06-2026 02:41,Completed,28.52,453.54,1,453.54,337.45
TRIP-000236,305,5675,1,27-06-2026 14:30,27-06-2026 15:02,Completed,13.47,235.31,1,235.31,182.65
TRIP-000237,321,8516,4,30-06-2026 15:53,30-06-2026 16:42,Completed,21.84,356.68,1,356.68,280.78
TRIP-000238,318,8645,1,08-06-2026 13:36,08-06-2026 13:43,Completed,2.77,80.16,1,80.16,63.55
TRIP-000239,125,5580,3,23-08-2026 12:44,23-08-2026 13:14,Completed,9.25,174.12,1,174.12,138.23
TRIP-000240,313,6090,2,01-07-2026 10:09,,Rider Cancelled,21.43,350.74,1.56,50,35
TRIP-000241,327,6344,3,22-07-2026 12:10,22-07-2026 12:48,Completed,15.48,264.46,1,264.46,199.69
TRIP-000242,129,6779,3,29-08-2026 07:30,29-08-2026 07:41,Completed,5.06,113.37,1,113.37,89.86
TRIP-000243,,7576,2,10-08-2026 21:02,,Unfulfilled,25.84,414.68,1,0,0
